Sname,Jname,family,Jfamily,genus,Jgenus,Mizukoku
Abudefduf hoefleri,オヤビッチャ属の一種,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,-
Abudefduf saxatilis,イソスズメダイ,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,29693
Abudefduf sparoides,オヤビッチャ属の一種,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,-
Aetoplatea zonura,Aetoplatea属の一種,Gymnuridae,ツバクロエイ科,Aetoplatea,Aetoplatea属,-
Alosa pseudoharengus,エールワイフ,Clupeidae,ニシン科,Alosa,ニシンダマシ属,-
Aspidontus taeniatus taeniatus,ニセクロスジギンポ,Blenniidae,イソギンポ科,Aspidontus,クロスジギンポ属,-
Bathytoshia centroura,Bathytoshia属の一種,Dasyatidae,アカエイ科,Bathytoshia,Bathytoshia属,-
Cryptacanthodes giganteus,ハダカオオカミウオ属の一種,Cryptacanthodidae,ハダカオオカミウオ科,Cryptacanthodes,ハダカオオカミウオ属,-
Cynoglossus cynoglossus,イヌノシタ属の一種,Cynoglossidae,ウシノシタ科,Cynoglossus,イヌノシタ属,-
Cynoglossus nanhaiensis,イヌノシタ属の一種,Cynoglossidae,ウシノシタ科,Cynoglossus,イヌノシタ属,-
Dasyatis pastinaca,アカエイ属の一種,Dasyatidae,アカエイ科,Dasyatis,アカエイ属,-
Dasyatis sp.,アカエイ属の一種,Dasyatidae,アカエイ科,Dasyatis,アカエイ属,-
Dasyatis tortonesei,アカエイ属の一種,Dasyatidae,アカエイ科,Dasyatis,アカエイ属,-
Eleginops maclovinus,ロバロ,Eleginopidae,ロバロ科,Eleginops,Eleginops属,-
Enoplosus armatus,オールドワイフ,Enoplosidae,エノプロスス科,Enoplosus,Enoplosus属,-
Hemitrygon bennettii,アカエイ属の一種,Dasyatidae,アカエイ科,Hemitrygon,アカエイ属,-
Himantura microphthalma,オトメエイ属の一種,Dasyatidae,アカエイ科,Himantura,オトメエイ属,-
Hippocampus comes,タイガーテールシーホース,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,-
Hippocampus japonicus,サンゴダツ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,-
Jaydia carinatus,マトイシモチ,Apogonidae,テンジクダイ科,Jaydia,ツマグロイシモチ属,-
Jaydia smithi,ツマグロイシモチ属の一種,Apogonidae,テンジクダイ科,Jaydia,ツマグロイシモチ属,-
Medialuna californiensis,ハーフムーン,Scorpididae,タカベ科,Medialuna,メディアルナ属,-
Microthrissa congica,Microthrissa属の一種,Clupeidae,ニシン科,Microthrissa,Microthrissa属,-
Mobula hypostoma,イトマキエイ属の一種,Mobulidae,イトマキエイ科,Mobula,イトマキエイ属,-
Mobula rochebrunei,イトマキエイ属の一種,Mobulidae,イトマキエイ科,Mobula,イトマキエイ属,-
Myliobatis aquila,トビエイ属の一種,Myliobatidae,トビエイ科,Myliobatis,トビエイ属,-
Myliobatis californica,バットイーグルレイ,Myliobatidae,トビエイ科,Myliobatis,トビエイ属,-
Pennahia macrocephalus,タイワンシログチ,Sciaenidae,ニベ科,Pennahia,シログチ属,-
Pennahia pawak,シログチ属の一種,Sciaenidae,ニベ科,Pennahia,シログチ属,-
Poecilia formosa,アマゾンモーリー,Poeciliidae,カダヤシ科,Poecilia,グッピー属,-
Poecilia latipinna,セイルフィンモーリー,Poeciliidae,カダヤシ科,Poecilia,グッピー属,-
Poroclinus rothrocki,Poroclinus属の一種,Stichaeidae,タウエガジ科,Poroclinus,Poroclinus属,-
Repomucenus octostigmatus,ネズッポ属の一種,Callionymidae,ネズッポ科,Repomucenus,ネズッポ属,-
Stethojulis balteata,ベルテッドラス,Labridae,ベラ科,Stethojulis,カミナリベラ属,-
Stethojulis interrupta,カットリボンラス,Labridae,ベラ科,Stethojulis,カミナリベラ属,-
Stethojulis terina,カミナリベラ属の一種,Labridae,ベラ科,Stethojulis,カミナリベラ属,-
Tilodon sexfasciatum,ムーンライター,Kyphosidae,イスズミ科,Tilodon,Tilodon属,-
Trixiphichthys weberi,Trixiphichthys属の一種,Triacanthidae,ギマ科,Trixiphichthys,Trixiphichthys属,-
Abalistes filamentosus,イトヒキオキハギ,Balistidae,モンガラカワハギ科,Abalistes,オキハギ属,-
Abalistes stellaris,オキハギ属の一種,Balistidae,モンガラカワハギ科,Abalistes,オキハギ属,-
Abalistes stellatus,オキハギ,Balistidae,モンガラカワハギ科,Abalistes,オキハギ属,-
Abantennarius analis,ロケットカエルアンコウ,Antennariidae,カエルアンコウ科,Abantennarius,Abantennarius属,-
Abbottina obtusirostris,ツチフキ属の一種,Cyprinidae,コイ科,Abbottina,ツチフキ属,-
Abbottina rivularis,ツチフキ,Cyprinidae,コイ科,Abbottina,ツチフキ属,29254
Ablabys gymnothorax,カササハオコゼ,Tetrarogidae,ハオコゼ科,Ablabys,ツマジロオコゼ属,-
Ablabys taenianotus,ツマジロオコゼ,Tetrarogidae,ハオコゼ科,Ablabys,ツマジロオコゼ属,29495
Ablennes hians,ハマダツ,Belonidae,ダツ科,Ablennes,ハマダツ属,-
Abudefduf bengalensis,テンジクスズメダイ,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,-
